duration	iti	trial_type	stim_file
14	14	visual	
14	14	motor/auditory	audio/Improv_for_Evil.wav
14	14	visual/auditory	audio/Cumbish.wav
14	14	motor	
14	14	motor/auditory	audio/Stereotype_News.wav
14	14	motor	
14	14	visual/auditory	audio/Jack_The_Lumberer.wav
14	14	visual	
14	14	motor	
14	14	visual/auditory	audio/Cumbish.wav
14	14	visual	
14	14	motor/auditory	audio/Bleu.wav
14	14	motor	
14	14	visual/auditory	audio/Jack_The_Lumberer.wav
14	14	motor/auditory	audio/Breaking_Bollywood.wav
14	14	visual	
