duration	iti	trial_type	stim_file
14	14	visual	
14	14	motor/auditory	audio/Bollywood_Groove.wav
14	14	motor	
14	14	visual/auditory	audio/Le_Baguette.wav
14	14	motor	
14	14	visual/auditory	audio/Shenzhen_Nightlife.wav
14	14	motor/auditory	audio/Breaking_Bollywood.wav
14	14	visual	
14	14	motor	
14	14	visual/auditory	audio/Ukulele_Song.wav
14	14	visual	
14	14	motor/auditory	audio/Coy_Koi.wav
14	14	visual	
14	14	motor/auditory	audio/Stereotype_News.wav
14	14	motor	
14	14	visual/auditory	audio/Le_Baguette.wav
